,Neg_Word,Neg_Count,Pos_Word,Pos_Count,Neg_feature,Neg_Count_feat,Pos_feature,Pos_Count_feat,Neg_feature_brand,Neg_Count_feat_brand,Pos_feature_brand,Pos_Count_feat_brand,Neg_Word_brand,Neg_Count_brand,Pos_Word_brand,Pos_Count_brand
0,didnt,153.0,didnt,264,rubberized,2.0,rubberized,5.0,work,135.0,good,440.0,safely,4.0,safely,9.0
1,like,295.0,fit,660, purple,3.0, purple,21.0,well,16.0,charger,66.0, charge,164.0, charge,335.0
2,worked,169.0,phone,2572, wave,1.0, wave,2.0,,17.0,great,463.0, phone,467.0, phone,892.0
3,work,622.0,good,2102, flower,3.0, flower,13.0,idk,3.0,product,196.0, car,54.0, car,117.0
4,well,130.0,charger,491, snap,68.0, snap,222.0,looking,4.0,expected,25.0, original,127.0, original,234.0
5,,99.0,great,2537, design,746.0, design,2351.0,for,6.0,thank,15.0, authentic,48.0, authentic,79.0
6,idk,5.0,product,1360, hard,151.0, hard,458.0,okay,4.0,verymuch,2.0, brand,56.0, brand,138.0
7,looking,34.0,expected,139, skin,176.0, skin,572.0,while,2.0,samsung,54.0, using,10.0, using,24.0
8,for,24.0,thank,108, cover,254.0, cover,739.0,little,18.0,galaxy,23.0, oem,75.0, oem,165.0
9,son,15.0,verymuch,9, faceplate,7.0, faceplate,27.0,uncomfortable,4.0,s2,7.0, ensure,52.0, ensure,71.0
10,love,51.0,samsung,136, sprint,423.0, sprint,941.0,bud,10.0,phone,472.0, warranty,132.0, warranty,252.0
11,complaint,25.0,galaxy,126, htc,252.0, htc,645.0,lose,2.0,oem,20.0, voided,10.0, voided,24.0
12,purchase,23.0,s2,10, evo,37.0, evo,151.0,6,7.0,official,2.0, use,49.0, use,104.0
13,itemi,1.0,oem,35, 4g,183.0, 4g,508.0,month,26.0,travel,6.0, official,7.0, official,19.0
14,ran,7.0,official,3,safely,8.0,safely,25.0,bought,30.0,usb,22.0, charger,202.0, charger,412.0
15,battery,223.0,travel,77, charge,1092.0, charge,3492.0,them,10.0,detachable,3.0, prolong,9.0, prolong,23.0
16,overchargingoops,1.0,usb,160, phone,2431.0, phone,5466.0,glued,2.0,come,13.0, battery,788.0, battery,1471.0
17,go,28.0,detachable,5, car,429.0, car,1071.0,on,4.0,micro,9.0, life,45.0, life,108.0
18,day,104.0,come,114, original,469.0, original,1382.0,gustaron,2.0,cable,41.0, compare,7.0, compare,19.0
19,charge,272.0,micro,46, authentic,66.0, authentic,118.0,flimsy,3.0,more,12.0, others,7.0, others,19.0
20,wish,26.0,cable,259, brand,123.0, brand,321.0,low,7.0,build,5.0, a,5.0, a,7.0
21,choice,5.0,more,51, using,17.0, using,37.0,quality,19.0,safely,1.0, designed,10.0, designed,13.0
22,colorful,1.0,build,30, oem,109.0, oem,225.0,junk,18.0,charge,88.0, stage,2.0, stage,8.0
23,skin,2.0,safely,7, ensure,166.0, ensure,399.0,arrived,8.0,original,46.0, quickly,2.0, quickly,5.0
24,outer,2.0,charge,933, warranty,799.0, warranty,2028.0,broken,9.0,authentic,2.0, 80,1.0, 80,4.0
25,protected,19.0,original,138, voided,11.0, voided,25.0,ear,47.0,brand,26.0, then,1.0, then,4.0
26,cover,26.0,authentic,2, use,299.0, use,615.0,piece,10.0,ensure,1.0, slowly,1.0, slowly,4.0
27,bulky,33.0,brand,92, official,8.0, official,25.0,sound,17.0,warranty,8.0, precisely,1.0, precisely,5.0
28,boringlooking,1.0,ensure,7, charger,1001.0, charger,3018.0,acceptable,4.0,voided,1.0, 100,44.0, 100,68.0
29,bought,148.0,warranty,39, prolong,19.0, prolong,67.0,loudest,2.0,samsungs,1.0, percent,1.0, percent,4.0
30,2017,6.0,voided,1, battery,1395.0, battery,2762.0,comfort,2.0,quick,14.0, samsungs,4.0, samsungs,5.0
31,fantastic,2.0,samsungs,2, life,189.0, life,473.0,level,3.0,charging,25.0, quick,43.0, quick,61.0
32,discharged,3.0,quick,90, compare,9.0, compare,21.0,terrible,10.0,technology,4.0, charging,139.0, charging,277.0
33,036hour,1.0,charging,240, others,14.0, others,28.0,broke,10.0,allows,5.0, technology,100.0, technology,184.0
34,active,4.0,technology,20, a,85.0, a,133.0,trying,5.0,mobile,8.0, allows,138.0, allows,270.0
35,use,43.0,allows,25, designed,274.0, designed,664.0,wide,2.0,compact,4.0, mobile,24.0, mobile,48.0
36,meant,7.0,mobile,48, stage,6.0, stage,16.0,18,2.0,durable,6.0, the,42.0, the,80.0
37,lasted,39.0,compact,90, quickly,87.0, quickly,219.0,inch,2.0,design,14.0, compact,32.0, compact,75.0
38,week,38.0,durable,67, 80,230.0, 80,855.0,neck,10.0,make,10.0, durable,24.0, durable,51.0
39,unfortunately,20.0,design,75, then,2.0, then,5.0,cant,13.0,convenient,13.0, design,72.0, design,215.0
40,past,20.0,make,99, slowly,2.0, slowly,5.0,recommend,12.0,battery,247.0, make,22.0, make,47.0
41,month,98.0,convenient,51, precisely,10.0, precisely,34.0,despite,2.0,home,12.0, convenient,4.0, convenient,7.0
42,rapidly,2.0,battery,852, 100,137.0, 100,366.0,price,16.0,go,16.0, home,22.0, home,42.0
43,degraded,1.0,home,81, percent,21.0, percent,44.0,15,3.0,worth,21.0, go,22.0, go,51.0
44,50,12.0,go,111, samsungs,4.0, samsungs,5.0,size,6.0,money,17.0, with,14.0, with,27.0
45,33,1.0,worth,117, quick,112.0, quick,238.0,headset,17.0,excellent,59.0, detachable,65.0, detachable,148.0
46,35,4.0,money,108, charging,942.0, charging,2989.0,fit,21.0,arrived,28.0, usb,196.0, usb,402.0
47,hour,38.0,excellent,411, technology,776.0, technology,2453.0,comfortably,2.0,item,31.0, micro,54.0, micro,128.0
48,afternoon,1.0,arrived,96, allows,373.0, allows,864.0,wear,6.0,price,126.0, cable,116.0, cable,228.0
49,thats,32.0,item,260, mobile,265.0, mobile,493.0,sleep,3.0,awesome,21.0,bluetooth,6.0,,45.0
50,worse,13.0,price,542, the,117.0, the,281.0,left,7.0,work,314.0, wireless,46.0,motorola,178.0
51,previous,9.0,awesome,166, compact,318.0, compact,1077.0,right,9.0,headphone,48.0, mean,2.0, bluetooth,487.0
52,ive,81.0,work,1607, durable,276.0, durable,630.0,flat,3.0,podcasts,2.0, sheer,2.0, earbuds,264.0
53,phone,757.0,screen,334, make,86.0, make,223.0,dressing,2.0,primarily,4.0, convenience,2.0, microphone,169.0
54,dont,159.0,protector,141, convenient,34.0, convenient,84.0,shirt,4.0,quality,136.0, handsfree,93.0, behindtheneck,132.0
55,two,5.0,dropping,24, home,121.0, home,272.0,problem,22.0,decent,15.0, communication,41.0, provides,162.0
56,disappointing,10.0,cracking,12, go,45.0, go,128.0,maybe,7.0,music,52.0, enhanced,12.0, comfortable,197.0
57,fine,29.0,prevents,5, with,146.0, with,310.0,tight,2.0,dont,53.0, total,2.0, fit,160.0
58,started,29.0,high,83, detachable,65.0, detachable,154.0,notice,2.0,that,23.0, freedom,2.0, magnet,133.0
59,draining,1.0,pitch,1, usb,1082.0, usb,3172.0,white,3.0,allowing,3.0, movement,2.0, secure,134.0
60,faster,8.0,squeal,1, micro,622.0, micro,2040.0,one,21.0,lean,2.0, unfold,6.0, collar,132.0
61,6,71.0,drop,81, cable,1178.0, cable,3695.0,come,5.0,relax,2.0, boom,41.0, prevent,149.0
62,july,1.0,too,68,,142.0,,445.0,extra,6.0,bumping,2.0, microphone,71.0, tangling,132.0
63,25,11.0,love,683,rapid,1.0,rapid,4.0,micro,3.0,place,5.0, headset,233.0, noise,348.0
64,march,2.0,little,381, m7,1.0, m7,3.0,usb,8.0,switched,6.0, ear,20.0, cancellation,232.0
65,30,19.0,bulky,50, 40,39.0, 40,117.0,charge,46.0,motorola,84.0, link,6.0,shirt,2.0
66,2018,1.0,received,94, faster,23.0, faster,37.0,cable,12.0,bud,59.0, established,6.0, clip,7.0
67,fattened,1.0,fast,299, 1a,23.0, 1a,43.0,dont,31.0,pair,45.0, automatically,14.0, included,100.0
68,up,22.0,look,246, accelerate,1.0, accelerate,3.0,portch,2.0,lg,43.0, this,176.0, compatible,416.0
69,heated,1.0,feel,178, supported,71.0, supported,163.0,wall,4.0,tone,22.0, universal,5.0, handset,90.0
70,cause,5.0,sturdy,75, rapid,19.0, rapid,31.0,charger,20.0,730,7.0, accessory,84.0, 25mm,2.0
71,screen,110.0,heavy,64, chip,64.0, chip,175.0,shown,2.0,750,2.0, encourages,2.0, headset,621.0
72,separate,4.0,duty,13, work,441.0, work,941.0,picture,3.0,800,2.0, user,37.0, jack,8.0
73,body,5.0,had,25, microusb,46.0, microusb,118.0,black,7.0,wise,3.0, update,2.0, will,2.0
74,basically,9.0,5,193, 20,76.0, 20,153.0,note,4.0,better,73.0, change,3.0, work,204.0
75,destroyed,2.0,round,9, 30,313.0, 30,1051.0,5,10.0,value,13.0, evolve,2.0, apple,15.0
76,year,36.0,golf,3, high,498.0, high,1421.0,disappointed,12.0,compared,11.0, compatible,216.0, iphone,40.0
77,good,87.0,44,1, speed,343.0, speed,1128.0,all,12.0,mid,6.0, 11,3.0, ipad,4.0
78,buy,114.0,12,25, device,1356.0, device,3477.0,feel,11.0,level,13.0, compliant,2.0, device,641.0
